Star,Kerb Weight,Active Bonnet,Lane Assist System,AEB Pedestrian,Center Airbag,Side Pelvis Airbag,Side Chest Airbag,Belt Pretensioner,Knee Airbag
1,1315,0,1,0,11-1,000,110,111,10-1
0,1869,1,1,0,1-1-1,110,110,111,00-1
1,2100,0,1,1,11-1,110,110,111,00-1
1,1910,0,1,0,11-1,110,110,111,00-1
1,2030,0,1,0,11-1,000,110,111,10-1
1,2524,0,1,0,00-1,110,110,111,00-1
1,2727,0,1,0,00-1,110,110,111,00-1
1,2379,0,1,1,11-1,110,110,111,00-1
1,1820,0,1,1,10-1,000,110,111,000
1,1502,0,1,0,11-1,000,110,111,00-1
1,1820,0,1,1,11-1,110,110,111,00-1
1,2060,0,1,0,11-1,110,110,111,000
1,2095,1,1,1,10-1,110,110,111,000
1,2060,0,1,0,11-1,110,110,111,000
1,1500,0,1,0,11-1,11-1,11-1,111,10-1
1,2100,0,1,1,11-1,110,110,111,00-1
1,1521,1,1,0,11-1,110,110,111,00-1
1,1750,0,1,1,11-1,110,110,111,00-1
0,1600,0,1,0,11-1,110,110,111,00-1
1,1140,0,1,0,00-1,110,110,111,00-1
1,1079,0,1,0,00-1,110,110,111,00-1
0,1734,1,1,0,0-1-1,000,110,111,00-1
1,1580,0,1,1,11-1,110,110,111,00-1
1,2365,0,1,1,11-1,110,110,111,10-1
1,2081,0,1,0,11-1,111,111,111,10-1
1,1580,0,1,1,11-1,110,110,111,00-1
1,1979,0,1,1,11-1,110,110,111,00-1
1,2365,0,1,1,11-1,110,110,111,10-1
0,2050,0,1,1,00-1,000,110,111,00-1
1,1626,0,1,0,00-1,000,110,111,00-1
1,1782,0,1,0,11-1,000,110,111,00-1
1,1544,0,1,0,11-1,000,110,111,000
1,1544,0,1,0,11-1,000,110,111,000
0,990,0,1,0,00-1,11-1,110,111,00-1
1,2105,0,1,0,11-1,110,110,111,000
0,1330,0,1,0,00-1,000,110,111,00-1
0,1397,0,1,0,00-1,000,110,111,00-1
1,2149,0,1,0,11-1,110,110,111,100
1,2149,0,1,0,11-1,110,110,111,100
